row_number,geonames_admin1_code,geonames_admin1_ascii_name
63,CN.01,Anhui
65,US.CA,California
67,US.MI,Michigan
69,CN.22,Beijing
73,NL.03,Gelderland
74,NL.09,Utrecht
212,CN.07,Fujian
320,FR.52,Pays de la Loire
321,FR.11,Ile-de-France
325,CA.08,Ontario
332,US.MA,Massachusetts
334,US.NY,New York
336,ES.29,Madrid
351,JP.13,Hyogo
361,DE.16,Berlin
362,GR.ESYE31,Attica
363,NZ.F3,Manawatu-Wanganui
364,TH.40,Bangkok
366,PL.74,Lodz Voivodeship
367,TH.39,Pathum Thani
368,BR.15,Minas Gerais
369,ES.56,Catalonia
370,FR.28,Normandy
374,FR.24,Centre
377,IN.25,Tamil Nadu
378,IN.40,Telangana
379,HK.HCW,Central and Western
380,RO.36,Timis
432,FR.84,Auvergne-Rhone-Alpes
437,GB.ENG,England
439,US.NJ,New Jersey
443,TR.34,Istanbul
444,IN.22,Puducherry
447,US.DC,"Washington, D.C."
448,CM.08,West
455,ES.32,Navarre
456,NL.06,North Brabant
457,ES.58,Galicia
458,EG.08,Giza
460,SA.11,'Asir
461,DE.06,Lower Saxony
464,US.VA,Virginia
466,GB.WLS,Wales
469,GB.SCT,Scotland
470,US.MO,Missouri
472,JP.40,Tokyo
473,IN.19,Karnataka
477,IL.02,Central District
478,US.AL,Alabama
479,US.WV,West Virginia
480,US.CT,Connecticut
481,BR.23,Rio Grande do Sul
482,US.TX,Texas
483,DK.17,Capital Region
484,CR.08,San Jose
485,NL.07,North Holland
489,CH.ZH,Zurich
490,ES.53,Canary Islands
494,US.IL,Illinois
495,DE.01,Baden-Wuerttemberg
496,CH.SG,Saint Gallen
497,CH.VD,Vaud
498,IT.04,Campania
499,ID.30,West Java
519,IT.18,Umbria
520,IT.05,Emilia-Romagna
558,CN.02,Zhejiang
559,BE.VLG,Flanders
560,IL.06,Jerusalem
561,CZ.52,Hlavni mesto Praha
564,US.PA,Pennsylvania
567,IN.33,Goa
569,JP.10,Gunma
570,US.GA,Georgia
571,AU.08,Western Australia
574,AU.07,Victoria
575,RU.13,Chelyabinsk
577,NL.15,Overijssel
578,DE.07,North Rhine-Westphalia
580,NZ.G2,Wellington
583,TR.68,Ankara
584,BE.BRU,Brussels Capital
585,IT.09,Lombardy
586,QA.01,Baladiyat ad Dawhah
587,DK.21,South Denmark
588,RU.20,Irkutsk Oblast
589,IT.07,Latium
593,IN.07,Delhi
595,DE.15,Thuringia
599,BR.18,Parana
651,GR.ESYE21,Epirus
652,JP.34,Saitama
653,AR.17,Salta
654,BR.27,Sao Paulo
656,CN.26,Shaanxi
658,UA.15,Lviv
659,FR.93,Provence-Alpes-Cote d'Azur
662,FI.01,Uusimaa
663,PG.20,National Capital
664,AU.02,New South Wales
665,AU.01,ACT
673,AT.09,Vienna
674,BD.81,Dhaka
689,SA.13,Hai'l Region
701,JP.07,Fukuoka
702,AR.01,Buenos Aires
723,CZ.78,South Moravian
725,RU.54,Omsk
740,NL.04,Groningen
741,JP.28,Nara
745,AM.11,Yerevan
764,RO.10,Bucuresti
766,RU.48,Moscow
767,AR.05,Cordoba
768,IR.26,Tehran
770,MY.14,Kuala Lumpur
771,US.MD,Maryland
773,IL.05,Tel Aviv
774,US.IN,Indiana
777,GR.ESYE14,Thessaly
779,IN.16,Maharashtra
781,IT.03,Calabria
783,TR.44,Malatya
784,DE.02,Bavaria
788,IR.32,Ardabil
790,IL.04,Haifa
791,TZ.06,Kilimanjaro
795,US.KS,Kansas
797,DE.04,Hamburg
798,PL.85,Warmia-Masuria
803,TR.81,Adana
805,TH.02,Chiang Mai
807,RU.90,Perm
811,IN.05,Chandigarh
814,NL.11,South Holland
816,CU.16,Villa Clara
818,PL.86,Greater Poland
819,US.LA,Louisiana
823,US.AZ,Arizona
826,RU.73,Tatarstan Republic
827,CA.01,Alberta
829,MX.09,Mexico City
831,AR.07,Buenos Aires F.D.
832,US.KY,Kentucky
833,US.TN,Tennessee
836,US.HI,Hawaii
839,SE.28,Vaestra Goetaland
841,JP.39,Tokushima
843,NG.05,Lagos
844,MY.12,Selangor
845,IT.16,Tuscany
854,DE.05,Hesse
865,AE.01,Abu Dhabi
875,US.SC,South Carolina
876,US.WA,Washington
878,FR.53,Brittany
887,ES.60,Valencia
888,FR.75,Nouvelle-Aquitaine
890,NL.05,Limburg
893,TH.68,Songkhla
906,DE.14,Saxony-Anhalt
908,US.CO,Colorado
914,KR.18,Gwangju
950,DE.13,Saxony
951,US.NC,North Carolina
952,SA.10,Ar Riyad
1040,FR.76,Occitanie
1056,NO.12,Oslo
1059,PL.82,Pomerania
1060,US.AK,Alaska
1069,ES.51,Andalusia
1070,LB.04,Beyrouth
1089,CN.11,Hunan
1090,CL.03,Antofagasta
1091,CL.06,Biobio
1092,FI.11,Northern Savonia
1093,AR.21,Santa Fe
1100,BY.04,Minsk City
1103,UA.23,Vinnyts'ka
1107,US.WI,Wisconsin
1108,CL.12,Santiago Metropolitan
1122,CN.05,Jilin
1132,ES.55,Castille and Leon
1136,NG.37,Edo
1139,TR.45,Manisa
1144,CN.25,Shandong
1182,JP.02,Akita
1188,CA.10,Quebec
1193,CN.06,Qinghai
1194,IL.01,Southern District
1196,SK.02,Bratislavsky kraj
1197,SE.21,Uppsala
1198,JP.19,Kanagawa
1201,SE.16,OEstergoetland
1205,TR.35,Izmir
1220,UA.12,Kyiv City
1228,CN.30,Guangdong
1229,IN.17,Manipur
1232,CH.BE,Bern
1233,DE.09,Saarland
1242,ES.57,Extremadura
1244,RU.08,Bashkortostan Republic
1251,UZ.13,Toshkent Shahri
1255,CA.02,British Columbia
1258,SK.03,Kosicky kraj
1260,CN.04,Jiangsu
1266,MY.01,Johor
1267,CN.23,Shanghai
1269,GE.51,T'bilisi
1271,IT.06,Friuli Venezia Giulia
1276,RU.53,Novosibirsk Oblast
1279,BE.WAL,Wallonia
1287,US.AR,Arkansas
1288,RU.66,St.-Petersburg
1352,NA.21,Khomas
1353,TR.03,Afyonkarahisar
1357,IE.L,Leinster
1358,JP.22,Kyoto
1364,PL.77,Lesser Poland
1366,ES.59,Basque Country
1368,ID.04,Jakarta
1371,BR.16,Para
1372,JP.01,Aichi
1377,ZA.11,Western Cape
1409,DE.10,Schleswig-Holstein
1412,CH.GE,Geneva
1413,PL.83,Silesia
1429,CN.28,Tianjin
1433,NG.50,Rivers
1451,CO.34,Bogota D.C.
