row_number,nmr_typology,continent_name,country_name,geonames_admin1_ascii_name,n_years_in_typology,n_years,y_pop_INT
0,Both balanced,Asia,Viet Nam,Quang Ninh,1,1,3
1,Both balanced,North America,Dominica,,1,1,1
2,Both balanced,Asia,Afghanistan,Bamyan,1,1,1
3,Both balanced,Asia,Afghanistan,Ghazni,1,1,2
4,Both balanced,South America,Peru,Ica,1,1,1
5,Both balanced,Africa,"Congo, The Democratic Republic of the",Maniema,1,1,1
6,Both balanced,Asia,Türkiye,Giresun,1,1,1
7,Both balanced,Africa,"Congo, The Democratic Republic of the",Ituri,1,1,1
8,Mixed,Asia,Afghanistan,Balkh,1,1,1
9,Both balanced,Asia,Thailand,Uttaradit,1,1,2
10,Both balanced,Asia,Georgia,Shida Kartli,1,1,1
11,Both balanced,Africa,Somalia,Sanaag,1,1,1
12,Both balanced,Africa,Somalia,Nugaal,1,1,1
13,Both balanced,Africa,Somalia,,1,1,1
14,Mixed,South America,Guyana,East Berbice-Corentyne,1,1,3
15,Both balanced,North America,Guatemala,Peten,1,1,1
16,Both balanced,Europe,Switzerland,Nidwalden,1,1,1
17,Both balanced,North America,"Virgin Islands, U.S.",Saint Thomas Island,1,1,1
18,Mixed,Africa,Sierra Leone,Northern Province,1,1,2
19,Both balanced,South America,"Venezuela, Bolivarian Republic of",,1,1,1
20,Both balanced,Europe,Croatia,Vukovar-Sirmium,1,1,1
21,Both balanced,North America,Haiti,Sud,1,1,1
22,Both balanced,Europe,Slovenia,Sentjur,1,1,1
23,Both balanced,North America,Nicaragua,Matagalpa,1,1,4
24,Both balanced,North America,Nicaragua,,1,1,1
25,Both balanced,North America,Nicaragua,,1,1,1
26,Both balanced,Asia,Thailand,Buriram,1,1,1
27,Both balanced,Asia,Pakistan,Gilgit-Baltistan,1,1,1
28,Both balanced,Europe,Slovenia,Horjul,1,1,1
29,Both balanced,Europe,Slovenia,Litija,1,1,1
30,Both balanced,Europe,Slovenia,Ziri,1,1,1
31,Both balanced,Europe,Slovenia,Radenci,1,1,1
32,Both balanced,Europe,Hungary,Zala,1,1,1
