"year";"wGini_Asia_in_internal";"wGini_Asia_out_internal";"wGini_Asia_in_international";"wGini_Asia_out_international";"wGini_Asia_in_both";"wGini_Asia_out_both";"wGini_Africa_in_internal";"wGini_Africa_out_internal";"wGini_Africa_in_international";"wGini_Africa_out_international";"wGini_Africa_in_both";"wGini_Africa_out_both";"wGini_Europe_in_internal";"wGini_Europe_out_internal";"wGini_Europe_in_international";"wGini_Europe_out_international";"wGini_Europe_in_both";"wGini_Europe_out_both";"wGini_NorthAmerica_in_internal";"wGini_NorthAmerica_out_internal";"wGini_NorthAmerica_in_international";"wGini_NorthAmerica_out_international";"wGini_NorthAmerica_in_both";"wGini_NorthAmerica_out_both";"wGini_SouthAmerica_in_internal";"wGini_SouthAmerica_out_internal";"wGini_SouthAmerica_in_international";"wGini_SouthAmerica_out_international";"wGini_SouthAmerica_in_both";"wGini_SouthAmerica_out_both"
"1";1998;0.308822809783098;0.298203265000034;0.340327330564664;0.279389342354729;0.205375490399237;0.180754405239839;0.637410679642113;0.628828381249336;0.398819409583402;0.412936008636436;0.326883717954998;0.319678687602984;0.368699166255765;0.345901794010945;0.210843199998608;0.185755820089301;0.187085869137341;0.180586056631018;0.150697475931576;0.149341008689351;0.15506526006148;0.238226018600093;0.0860298766752487;0.0832903579684113;0.447771603971287;0.432268130356139;0.274790409465201;0.301738773716051;0.26757421367276;0.284533170338738
"2";1999;0.305236839104568;0.280981454505264;0.33523659797592;0.273731407119317;0.206839860617318;0.172464370423441;0.540786853184509;0.590643060035609;0.348477084289047;0.370314176082686;0.278949032799855;0.289575599453084;0.361923298867303;0.348032345505359;0.212410207409303;0.19198309803456;0.186298703543453;0.184091941904879;0.15300518253243;0.151463254945548;0.16011844170727;0.220805538326632;0.0860006714805479;0.0776495600424856;0.472154902471485;0.403612004799791;0.290199606519536;0.318437323680416;0.27170767026662;0.259786221755393
"3";2000;0.313143442468257;0.27766427671257;0.331581045539113;0.294152271846123;0.215916868142847;0.181253396650966;0.567020871178715;0.540061633276759;0.349198952525722;0.392536561741052;0.262337261363286;0.298457811609841;0.361202601644677;0.340145017066796;0.206118338204062;0.19817912326708;0.180856909966724;0.17886110290761;0.138755450081673;0.160516910321662;0.151527254884997;0.209544587013234;0.0791527461705268;0.0818175143649378;0.454240233107209;0.398587051031231;0.261440678500263;0.331800862689755;0.278386845002028;0.248605952867005
"4";2001;0.327265738237814;0.294182454824197;0.345865622456427;0.299541918038942;0.239910654879418;0.197346434507878;0.5285957055027;0.512726989653223;0.323739525998263;0.35393923309609;0.240870955235531;0.252130643550501;0.343612470315303;0.328724253745552;0.215918955857986;0.207769445269949;0.17969889997242;0.163458274370744;0.147079904080424;0.149539611172365;0.15755702859095;0.207302175014033;0.0746634703239456;0.07415813688223;0.423035316833971;0.345910538005655;0.309936804790239;0.349627590204542;0.261498198324861;0.256286427087323
"5";2002;0.294146538681648;0.267410886138319;0.345607946775025;0.274600457653615;0.212531416142061;0.176944762918339;0.505026187685828;0.549286336462088;0.320544247476107;0.336280567840911;0.224663914999964;0.26996572963393;0.343076586265477;0.32297098459425;0.216712221816865;0.203303733916096;0.183737594625871;0.161829413592794;0.142927677757496;0.15169294362693;0.164259481209833;0.191186506718568;0.0768347708293583;0.0775980352038066;0.421215378472943;0.340719908936094;0.31686511778488;0.326696328755321;0.250394948244506;0.21791728880215
"6";2003;0.309296195005091;0.272746368359189;0.33741295648296;0.285280178528032;0.219616933349939;0.190070451936435;0.50224046569635;0.4937785229951;0.344025636763145;0.328516637388314;0.23380346995256;0.241862703039143;0.363421143550825;0.339426489766019;0.221941082671942;0.225148868561761;0.201433988769564;0.17999366787774;0.159144776748292;0.150095260803918;0.160343119127585;0.195863851637261;0.0861049939433406;0.0795159415717341;0.426567567677214;0.333739537382646;0.348747834442677;0.386139885739297;0.282562458476483;0.256567250162266
"7";2004;0.313482642089994;0.271195893356267;0.365258547996518;0.35134804384522;0.245142274675415;0.216604858273385;0.516443268964531;0.512810301107417;0.357316706857608;0.322254638886093;0.271222174348532;0.235568552170331;0.365409633242932;0.349366963817163;0.24051107595739;0.218874982982864;0.213469670692589;0.188722286607648;0.165379145896344;0.158366198093727;0.173182265401254;0.184686870999417;0.086171479134006;0.0817334099109059;0.43831196845101;0.311453607160788;0.377709614724123;0.402033337644021;0.318642301679422;0.239344728353474
"8";2005;0.320679785761107;0.284877168036517;0.395478510901176;0.368117995654919;0.263689139737475;0.240983888138092;0.503584237529618;0.451639794600298;0.320045153729376;0.363161218634924;0.258449965133307;0.246289031235277;0.363398063317474;0.348681814932242;0.247836546879988;0.227650451700984;0.211426868131402;0.196514403143237;0.154751845194713;0.151404622962001;0.177592982626314;0.179069969938206;0.0837317216316958;0.084366233143746;0.431403639230182;0.309152084715596;0.417437738068546;0.400283107831873;0.312816698202711;0.242462716579321
"9";2006;0.304870074001652;0.262410879937592;0.402936345601522;0.387214203278375;0.248661327672599;0.230219935822226;0.523922011269312;0.467909635041287;0.332118950260191;0.360000559742028;0.264554276807372;0.25285543516718;0.346482679204971;0.337155818101457;0.251772754976867;0.237493840982895;0.201647112932797;0.1983358802346;0.161676198983343;0.152944139687244;0.180780367760476;0.173241322951832;0.0852710451266546;0.0859125467959039;0.421492790640199;0.28626599150679;0.420421384951477;0.413156516486545;0.321389449402108;0.229002655324793
"10";2007;0.295270023262342;0.25553279923235;0.406508683110381;0.37776238932607;0.246477146843517;0.21877383428207;0.55342499434183;0.519431575772903;0.318609717939983;0.343664651803809;0.241226971529097;0.249379335211138;0.353951359246953;0.332111246152756;0.250770865335513;0.233231258694123;0.20542703706134;0.201197206629065;0.162258286466255;0.152907839292807;0.178855244360989;0.174482779890509;0.0823284564259756;0.0888064695586499;0.411505626835148;0.279077180393655;0.442004023971117;0.383003323981148;0.31261847420004;0.196435054620253
