"region_iso";"country";"continent";"income";"number_of_scholars";"Kendall_internal_continent_in";"Kendall_internal_continent_out";"Kendall_internal_vs_international_continent_in";"Kendall_internal_vs_international_continent_out";"Kendall_internal_vs_international_income_in";"Kendall_internal_vs_international_income_out";"Kendall_international_continent_in";"Kendall_international_continent_out";"SE_Kendall_internal_continent_in.x";"SE_Kendall_internal_continent_in.y";"SE_Kendall_internal_continent_out";"SE_Kendall_internal_income_in";"SE_Kendall_international_continent_in";"SE_Kendall_international_continent_out.x";"SE_Kendall_international_continent_out.y";"SE_Kendall_international_income_out"
"1";"AE.01";"AE";"Asia";"High";767.5;0.39622163772583;0.407382786273956;-0.418543964624405;0.072547622025013;-0.418543964624405;0.072547622025013;-0.368421018123627;-0.631578922271729;0.0282051261834571;0.0282051261834571;0.0282051261834571;0.0282051261834571;0.0263157852468733;0.0263157852468733;0.0282051261834571;0.0282051261834571
"2";"AE.02";"AE";"Asia";"High";25.8;0.542083263397217;NA;NA;NA;NA;NA;0.245844572782516;NA;0.048975715089697;NA;NA;NA;0.0412087865094834;NA;NA;NA
"3";"AE.03";"AE";"Asia";"High";129.6;0.0213931277394295;0.490189641714096;0.14858840405941;0.36368316411972;0.14858840405941;0.36368316411972;-0.178947359323502;0.0158311892300844;0.0269260093453922;0.028865827400547;0.0287416050417601;0.028865827400547;0.0263157852468733;0.0264271780814859;0.0269260093453922;0.0269260093453922
"4";"AE.05";"AE";"Asia";"High";27.6;0.140705302357674;NA;NA;NA;NA;NA;-0.277825444936752;NA;0.0599326609625303;NA;NA;NA;0.0559176714469137;NA;NA;NA
"5";"AE.06";"AE";"Asia";"High";206.4;-0.131926581263542;0.526134014129639;0.327229589223862;0.258576095104218;0.327229589223862;0.258576095104218;-0.652631521224976;0.0477468706667423;0.0264271780814859;0.0286913617074832;0.0283416863130612;0.0286913617074832;0.0263157852468733;0.0266347675802394;0.0264271780814859;0.0264271780814859
"6";"AM.01";"AM";"Asia";"Upper-middle";44.3;-0.0857633054256439;-0.0708200559020042;-0.0575590953230858;0.145250678062439;-0.0575590953230858;0.145250678062439;-0.203234702348709;-0.23099248111248;0.0288874342595522;0.0355981795139505;0.0335397334910847;0.0355981795139505;0.0269260093453922;0.0278483553418171;0.029572196057115;0.029572196057115
"7";"AM.11";"AM";"Asia";"Upper-middle";471.7;-0.205195665359497;-0.0865578427910805;0.149508997797966;0.0683985501527786;0.149508997797966;0.0683985501527786;-0.136842086911201;-0.199999988079071;0.0287416050417601;0.0335397334910847;0.0335397334910847;0.0335397334910847;0.0263157852468733;0.0263157852468733;0.0287416050417601;0.0287416050417601
"8";"AR.01";"AR";"South America";"Upper-middle";1586.8;0.536842048168182;0.642105221748352;-0.347368389368057;-0.357894718647003;-0.347368389368057;-0.357894718647003;-0.652631521224976;-0.494736790657043;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"9";"AR.04";"AR";"South America";"Upper-middle";19.4;0.146406516432762;0.436579316854477;0.418413728475571;0.253791481256485;0.418413728475571;0.253791481256485;-0.0175953842699528;0.212460160255432;0.0274135019432682;0.0362607938593063;0.0283416863130612;0.0362607938593063;0.029480563907354;0.0335397334910847;0.030743291934944;0.030743291934944
"10";"AR.05";"AR";"South America";"Upper-middle";1226;0.505263090133667;0.547368347644806;-0.168421044945717;-0.126315772533417;-0.168421044945717;-0.126315772533417;-0.389473646879196;-0.536842048168182;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"11";"AR.06";"AR";"South America";"Upper-middle";146.8;0.195251330733299;0.248021960258484;0.0319153442978859;-0.121372453868389;0.0319153442978859;-0.121372453868389;-0.105263151228428;-0.122019775211811;0.0264271780814859;0.0267478446989093;0.0264271780814859;0.0267478446989093;0.0263157852468733;0.0266347675802394;0.0264271780814859;0.0264271780814859
"12";"AR.07";"AR";"South America";"Upper-middle";4729.4;0.715789437294006;0.768420994281769;-0.505263090133667;-0.58947366476059;-0.505263090133667;-0.58947366476059;-0.684210479259491;-0.652631521224976;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"13";"AR.08";"AR";"South America";"Upper-middle";47.4;0.235324397683144;0.373899281024933;0.270170509815216;0.0284384842962027;0.270170509815216;0.0284384842962027;0.201498135924339;0.297270119190216;0.0269260093453922;0.0325368329278012;0.0282051261834571;0.0325368329278012;0.0283416863130612;0.0302907608112134;0.0290106315621337;0.0290106315621337
"14";"AR.10";"AR";"South America";"Upper-middle";29.6;0.302813321352005;NA;NA;NA;NA;NA;0.418341666460037;NA;0.0272904481217912;NA;NA;NA;0.0306042885274653;NA;NA;NA
"15";"AR.13";"AR";"South America";"Upper-middle";1990.2;-0.378947347402573;-0.578947305679321;0.347368389368057;0.231578931212425;0.347368389368057;0.231578931212425;-0.452631533145905;-0.494736790657043;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733;0.0263157852468733
"16";"AR.14";"AR";"South America";"Upper-middle";50.5;0.291998565196991;0.444590598344803;-0.028804212808609;0.311517268419266;-0.028804212808609;0.311517268419266;0.500028312206268;0.319166988134384;0.0272904481217912;0.0292254795612127;0.0287416050417601;0.0292254795612127;0.0267496683807168;0.0267496683807168;0.0277444178905867;0.0277444178905867
"17";"AR.15";"AR";"South America";"Upper-middle";110.6;0.476197123527527;0.55409163236618;0;-0.00551317818462849;0;-0.00551317818462849;0.159038454294205;0.0390641056001186;0.026539752024359;0.028326513008616;0.0264271780814859;0.028326513008616;0.0277192942465781;0.0282051261834571;0.027958192848739;0.027958192848739
"18";"AR.16";"AR";"South America";"Upper-middle";94;-0.294736832380295;-0.252631545066833;0.14137952029705;-0.0697173699736595;0.14137952029705;-0.0697173699736595;0.305683851242065;0.097878135740757;0.0263157852468733;0.0275379415683872;0.0263157852468733;0.0275379415683872;0.0270443840755703;0.0275379415683872;0.0270443840755703;0.0270443840755703
