"region_iso";"country";"continent";"income";"number_of_scholars";"internal_continent_in";"internal_continent_in_transformed";"internal_continent_out";"internal_continent_out_transformed";"internal_income_in";"internal_income_in_transformed";"internal_income_out";"internal_income_out_transformed";"international_continent_in";"international_continent_in_transformed";"international_continent_out";"international_continent_out_transformed";"international_income_in";"international_income_in_transformed";"international_income_out";"international_income_out_transformed";"SE_internal_continent_in";"SE_internal_continent_out";"SE_internal_income_in";"SE_internal_income_out";"SE_international_continent_in";"SE_international_continent_out";"SE_international_income_in";"SE_international_income_out"
"1";"AE.01";"AE";"Asia";"High";767.5;0.0557998805438969;5.73860590391819;0.0851162552798372;8.88436431630999;0.0557998805438969;5.73860590391819;0.0851162552798372;8.88436431630999;-0.0247284875488521;-2.44252432341288;-0.039605415076544;-3.88313730143903;-0.0247284875488521;-2.44252432341288;-0.039605415076544;-3.88313730143903;0.000973098009905177;0.000994332992015599;0.000973098009905177;0.000994332992015599;6.51463894172485e-05;4.99328207628911e-05;6.51463894172485e-05;4.99328207628911e-05
"2";"AE.02";"AE";"Asia";"High";25.8;0.251209605330826;28.5579520413268;NA;NA;0.251209605330826;28.5579520413268;NA;NA;0.107252297786118;11.3215080752259;NA;NA;0.107252297786118;11.3215080752259;NA;NA;0.0145775532061281;NA;0.0145775532061281;NA;0.00623050355597913;NA;0.00623050355597913;NA
"3";"AE.03";"AE";"Asia";"High";129.6;-0.0394829024587219;-3.87136105161812;0.0298971423943536;3.03485493181832;-0.0394829024587219;-3.87136105161812;0.0298971423943536;3.03485493181832;-0.026097341700787;-2.57597492100489;-0.00718460409226465;-0.71588565232138;-0.026097341700787;-2.57597492100489;-0.00718460409226465;-0.71588565232138;0.00139792958735693;0.00196943960746698;0.00139792958735693;0.00196943960746698;0.000140734051493796;0.000593486601748568;0.000140734051493796;0.000593486601748568
"4";"AE.05";"AE";"Asia";"High";27.6;-0.177682640447329;-16.2791922686442;NA;NA;-0.177682640447329;-16.2791922686442;NA;NA;-0.189539259165156;-17.2659764427083;NA;NA;-0.189539259165156;-17.2659764427083;NA;NA;0.0118783117512827;NA;0.0118783117512827;NA;0.00483000786110278;NA;0.00483000786110278;NA
"5";"AE.06";"AE";"Asia";"High";206.4;-0.0175726848210604;-1.74191856411868;0.0540242073770592;5.55101529780826;-0.0175726848210604;-1.74191856411868;0.0540242073770592;5.55101529780826;-0.0793407268230714;-7.62748671107517;-0.018058700243884;-1.78966190417399;-0.0793407268230714;-7.62748671107517;-0.018058700243884;-1.78966190417399;0.00112694884730595;0.00128850024070261;0.00112694884730595;0.00128850024070261;0.00028133200088935;0.000160908824369303;0.00028133200088935;0.000160908824369303
"6";"AM.01";"AM";"Asia";"Upper-middle";44.3;-0.029939073998542;-2.94953392843273;-0.0925914388254473;-8.84341453575487;-0.029939073998542;-2.94953392843273;-0.0925914388254473;-8.84341453575487;-0.0549663860627671;-5.34830364194397;-0.0868496798494736;-8.31850989706436;-0.0549663860627671;-5.34830364194397;-0.0868496798494736;-8.31850989706436;0.00140862799832656;0.00692799044562822;0.00140862799832656;0.00692799044562822;0.00119831132208239;0.00146595067042471;0.00119831132208239;0.00146595067042471
"7";"AM.11";"AM";"Asia";"Upper-middle";471.7;-0.0794633747544075;-7.6388153140133;-0.0479703717969919;-4.68379728628088;-0.0794633747544075;-7.6388153140133;-0.0479703717969919;-4.68379728628088;-0.00918850933334654;-0.914642398065391;-0.0142055152215212;-1.41050929691577;-0.00918850933334654;-0.914642398065391;-0.0142055152215212;-1.41050929691577;0.00188256512056685;0.00618858335023479;0.00188256512056685;0.00618858335023479;0.000129648955525568;7.7446775363523e-05;0.000129648955525568;7.7446775363523e-05
"8";"AR.01";"AR";"South America";"Upper-middle";1586.8;0.0261639600138725;2.65092411458492;0.0329839433919493;3.35339440586278;0.0261639600138725;2.65092411458492;0.0329839433919493;3.35339440586278;-0.0423457816899709;-4.14617217236888;-0.0427248757570695;-4.1825029029897;-0.0423457816899709;-4.14617217236888;-0.0427248757570695;-4.1825029029897;2.88032095206059e-05;3.72316459413725e-05;2.88032095206059e-05;3.72316459413725e-05;4.8090085069115e-05;4.54472519128181e-05;4.8090085069115e-05;4.54472519128181e-05
"9";"AR.04";"AR";"South America";"Upper-middle";19.4;0.00446911798052915;0.447911938188805;0.0862429861893418;9.00711683668998;0.00446911798052915;0.447911938188805;0.0862429861893418;9.00711683668998;-0.100050411890709;-9.52081953793286;0.0657042174565808;6.79108010741774;-0.100050411890709;-9.52081953793286;0.0657042174565808;6.79108010741774;0.0014602223591988;0.00340578173741425;0.0014602223591988;0.00340578173741425;0.0021374598347988;0.0171402614469572;0.0021374598347988;0.0171402614469572
"10";"AR.05";"AR";"South America";"Upper-middle";1226;0.0470839009728136;4.82099512250089;0.0398306901468542;4.06345695900658;0.0470839009728136;4.82099512250089;0.0398306901468542;4.06345695900658;-0.0276373074846966;-2.7258891251581;-0.0492225655320597;-4.8030769419649;-0.0276373074846966;-2.7258891251581;-0.0492225655320597;-4.8030769419649;0.000155269788852903;8.73725000381161e-05;0.000155269788852903;8.73725000381161e-05;7.1507247404312e-05;0.000106934597817375;7.1507247404312e-05;0.000106934597817375
